run_id,variant,seed,status,context_length,calibration_loss,calibration_ppl,eval_loss,eval_ppl,retrieval_accuracy,chance_accuracy,above_chance,realized_overlap,n_params,n_gate_refreshes,theoretical_causal_edges,actual_edges,sparsity_ratio,edge_count_is_upper_bound,gate_pool_size,gate_selected,gate_criterion,gate_mean_selected_overlap,contribution_delta_mean,contribution_frac_below_eps
0081b5f1160c,crpa_noreg,1337,completed,512,6.703627586364746,815.3582493106709,6.712666130065918,822.761306507679,5.833333333333333,5.0,True,0.2327570142224431,12440832,0,131328,35765.5,0.27233720151072127,False,,,,,,
045a6fc8d9f3,crpa_noreg,2024,completed,512,6.93758487701416,1030.2789574327376,6.973545360565185,1068.0025002390348,3.3333333333333335,5.0,False,0.2549967650944988,12440832,0,131328,35819.833333333336,0.27275092389538663,False,,,,,,
2bcde6f4f2b5,crpa_naive,1337,completed,512,6.6925048828125,806.3395105723077,6.702212333679199,814.2051275304688,4.583333333333333,5.0,False,0.25082505866885185,12440832,17,131328,35750.666666666664,0.27222425276153345,False,24,8,structural_overlap,1.0,,
2e3277d63e49,dense,1337,completed,512,6.582131385803223,722.0767143445651,6.547157573699951,697.2594458438501,55.0,5.0,True,0.38078764112045366,12412608,0,131328,nan,nan,,,,,,,
3225f2fbc32d,crpa_contribution,42,completed,512,6.693741798400879,807.3375015705313,6.763509750366211,865.6751739364596,3.3333333333333335,5.0,False,0.2196023166179657,12440832,17,131328,35776.166666666664,0.2724184230831709,False,24,8,behavioral_contribution,1.0,-2.1855036417643228e-07,1.0
474f816cd04d,crpa_contribution,1337,completed,512,6.6960883140563965,809.2341560517,6.7047254085540775,816.2538592092783,6.25,5.0,True,0.21316525960961977,12440832,17,131328,35763.333333333336,0.2723207033788174,False,24,8,behavioral_contribution,1.0,1.7881393432617188e-07,1.0
5fa464d329cf,crpa_naive,42,completed,512,6.703641414642334,815.3695243888332,6.771991825103759,873.0491244496945,5.416666666666667,5.0,True,0.24067430042972168,12440832,17,131328,35743.333333333336,0.27216841293047433,False,24,8,structural_overlap,1.0,,
95d5845151a4,crpa_contribution,2024,completed,512,6.917574405670166,1009.8674924861684,6.955478191375732,1048.8799834115287,3.3333333333333335,5.0,False,0.23414843001713356,12440832,17,131328,35761.166666666664,0.27230420524691357,False,24,8,behavioral_contribution,1.0,-1.5894571940104166e-07,1.0
9b522b38b6a6,sliding,1337,completed,512,6.810933589935303,907.7178477384141,6.770587348937989,871.8238084278488,50.416666666666664,5.0,True,0.3389559257775545,12412608,0,131328,nan,nan,,,,,,,
9c822b45e3db,sliding,2024,completed,512,6.963078498840332,1056.8821647780612,6.919707107543945,1012.0235370626006,39.166666666666664,5.0,True,0.3148320472488801,12412608,0,131328,nan,nan,,,,,,,
a1bb29935d90,sliding,42,completed,512,6.796847343444824,895.0211447768957,6.878911256790161,971.567995694858,52.083333333333336,5.0,True,0.3131929102043311,12412608,0,131328,nan,nan,,,,,,,
c25f2bb93c81,dense,2024,completed,512,6.709590911865234,820.2350223914509,6.663915014266967,783.6127948792998,54.166666666666664,5.0,True,0.4057226286580165,12412608,0,131328,nan,nan,,,,,,,
d0069bf82150,dense,42,completed,512,6.495584964752197,662.21148240853,6.572772741317749,715.3505779353657,51.666666666666664,5.0,True,0.4220329976330201,12412608,0,131328,nan,nan,,,,,,,
e4effb44c917,crpa_naive,2024,completed,512,6.955974578857422,1049.400763548766,6.990611934661866,1086.3860701136218,3.75,5.0,False,0.301644801783065,12440832,17,131328,35784.666666666664,0.2724831465237167,False,24,8,structural_overlap,1.0,,
fa2c8943f30d,crpa_noreg,42,completed,512,6.682981967926025,798.6972540762624,6.751870727539062,855.6579691467347,4.166666666666667,5.0,False,0.24289032040784755,12440832,0,131328,35754.0,0.272249634502924,False,,,,,,
