variant,label,n_runs,seeds,statuses,retrieval_accuracy_mean,retrieval_accuracy_std,retrieval_accuracy_ci_low,retrieval_accuracy_ci_high,realized_overlap_mean,realized_overlap_std,realized_overlap_ci_low,realized_overlap_ci_high,eval_loss_mean,eval_loss_std,eval_loss_ci_low,eval_loss_ci_high,eval_ppl_mean,eval_ppl_std,eval_ppl_ci_low,eval_ppl_ci_high,calibration_loss_mean,calibration_loss_std,calibration_loss_ci_low,calibration_loss_ci_high,calibration_ppl_mean,calibration_ppl_std,calibration_ppl_ci_low,calibration_ppl_ci_high,chance_accuracy_mean,chance_accuracy_std,chance_accuracy_ci_low,chance_accuracy_ci_high
crpa_contribution,CRPA contribution-gated,3,42;1337;2024,completed,4.305555555555556,1.6839382851364084,3.3333333333333335,6.25,0.22230533541490635,0.010749562458544604,0.21316525960961977,0.23414843001713356,6.807904450098673,0.13113888266434426,6.704725408554078,6.955478191375732,910.2696721857556,122.55704945420335,816.2538592092783,1048.8799834115287,6.7691348393758135,0.12855778920459054,6.693741798400879,6.917574405670166,875.4797167027999,116.38709135705699,807.3375015705313,1009.8674924861684,5.0,0.0,5.0,5.0
crpa_naive,CRPA naive reg.,3,42;1337;2024,completed,4.583333333333333,0.8333333333333335,3.75,5.416666666666667,0.2643813869605462,0.032667736933917765,0.24067430042972168,0.301644801783065,6.821605364481608,0.15046497907798445,6.702212333679199,6.9906119346618665,924.5467740312616,143.211809257068,814.2051275304688,1086.3860701136218,6.784040292104085,0.14900353957652535,6.6925048828125,6.955974578857422,890.3699328366356,137.7987268632202,806.3395105723079,1049.400763548766,5.0,0.0,5.0,5.0
crpa_noreg,CRPA no reg.,3,42;1337;2024,completed,4.444444444444444,1.2729376930432887,3.3333333333333335,5.833333333333333,0.2435480332415965,0.011134454155527078,0.2327570142224431,0.2549967650944988,6.812694072723389,0.14067374565295152,6.712666130065917,6.973545360565185,915.4739252978161,133.1137567398508,822.761306507679,1068.0025002390348,6.774731477101644,0.14141245626704452,6.682981967926025,6.93758487701416,881.4448202732237,129.1630654582145,798.6972540762623,1030.2789574327376,5.0,0.0,5.0,5.0
dense,Dense Transformer,2,42;1337,completed,53.33333333333333,2.3570226039551603,51.666666666666664,55.0,0.4014103193767369,0.029164871282492465,0.38078764112045366,0.4220329976330201,6.5599651575088505,0.01811265872377505,6.547157573699951,6.572772741317749,706.3050118896078,12.792362181252203,697.2594458438501,715.3505779353657,6.53885817527771,0.06119756121260622,6.495584964752197,6.582131385803223,692.1440983765475,42.3311114592759,662.21148240853,722.0767143445651,5.0,0.0,5.0,5.0
