variant,seed,lambda_red,removal_budget,realized_overlap,retrieval_accuracy,chance_accuracy,eval_loss,eval_ppl,calibration_loss,calibration_ppl,gate_selected,gate_pool_size,gate_criterion,gate_mean_selected_overlap,contribution_delta_mean,contribution_frac_below_eps,n_gate_refreshes,run_id,status
crpa_contribution,1337,0.02,8,0.22435090287278095,12.083333333333334,5.0,6.760352849960327,862.946632760926,6.704583644866943,816.1381522542754,8,24,behavioral_contribution,1.0,-1.665949821472168e-05,1.0,17,08829ae5f8f2,completed
crpa_naive,1337,0.02,8,0.23917750548571348,4.166666666666667,5.0,6.731800746917725,838.6561144323877,6.678366661071777,795.0195146413754,8,24,structural_overlap,1.0,,,17,0af36a342a9c,completed
crpa_naive,2024,0.1,8,0.27057388983666897,3.3333333333333335,5.0,6.870868682861328,963.7854261579696,6.862889289855957,956.125604475732,8,24,structural_overlap,1.0,,,17,140a77a9201e,completed
crpa_naive,1337,0.01,8,0.2663228052357833,5.416666666666667,5.0,6.727645683288574,835.1786744092622,6.669691562652588,788.1524713112802,8,24,structural_overlap,1.0,,,17,296df43b4a7d,completed
crpa_naive,42,0.02,8,0.24260446274032196,4.583333333333333,5.0,6.75459885597229,857.9955010753483,6.699143886566162,811.7106112603336,8,24,structural_overlap,1.0,,,17,2a61d354d13b,completed
crpa_naive,42,0.2,8,0.20785018242895603,5.833333333333333,5.0,6.746620845794678,851.1776368926239,6.687409400939941,802.241272329592,8,24,structural_overlap,1.0,,,17,3486cd6552b7,completed
crpa_contribution,2024,0.0,8,0.26009099061290425,3.3333333333333335,5.0,6.95383620262146,1047.1591474574604,6.93758487701416,1030.2789574327376,8,24,behavioral_contribution,1.0,1.3907750447591147e-07,1.0,17,3712ecea11ad,completed
crpa_naive,1337,0.05,8,0.22169604866454998,11.666666666666666,5.0,6.749875926971436,853.9528034423814,6.6901350021362305,804.4308446961873,8,24,structural_overlap,1.0,,,17,3be27be557ea,completed
crpa_contribution,1337,0.05,8,0.21538078195104995,6.25,5.0,6.752049493789673,855.810945586789,6.6960883140563965,809.2341560517,8,24,behavioral_contribution,1.0,1.7881393432617188e-07,1.0,17,3f6b18687b47,completed
crpa_contribution,2024,0.02,8,0.2750404408822457,3.3333333333333335,5.0,6.8438615798950195,938.1047156183296,6.83353328704834,928.4655590970804,8,24,behavioral_contribution,1.0,-7.450580596923828e-07,1.0,17,4f00d903fb33,completed
crpa_contribution,42,0.02,8,0.24435440233598152,3.3333333333333335,5.0,6.748790121078491,853.0260796682229,6.692338466644287,806.2053338055811,8,24,behavioral_contribution,1.0,-3.0795733133951825e-07,1.0,17,4f316bd2c1e6,completed
crpa_naive,1337,0.1,8,0.23842597721765438,5.416666666666667,5.0,6.735523843765259,841.784332083365,6.679194450378418,795.6778957569943,8,24,structural_overlap,1.0,,,17,5167b76e277a,completed
crpa_naive,2024,0.02,8,0.25266170874238014,3.3333333333333335,5.0,6.864827394485474,957.980472820016,6.856636047363281,950.1653740225726,8,24,structural_overlap,1.0,,,17,5e74b9a955bb,completed
